state,name,start_date,end_date
SH,Weihnachtsferien,2023-12-27,2024-01-06
SH,Osterferien,2024-04-02,2024-04-19
SH,Himmelfahrt,2024-05-10,2024-05-11
SH,Sommerferien,2024-07-22,2024-08-31
SH,Herbstferien,2024-10-14,2024-11-01
SH,Herbstferien,2024-10-21,2024-11-01
SH,Weihnachtsferien,2024-12-19,2025-01-07
SH,Osterferien,2025-04-11,2025-04-25
SH,Himmelfahrt,2025-05-30,2025-05-30
SH,Sommerferien,2025-07-28,2025-09-06
SH,Herbstferien,2025-10-13,2025-10-30
SH,Herbstferien,2025-10-20,2025-10-30
SH,Weihnachtsferien,2025-12-19,2026-01-06
SH,Osterferien,2026-03-26,2026-04-10
SH,Himmelfahrt,2026-05-15,2026-05-15
SH,Sommerferien,2026-07-04,2026-08-15
SH,Herbstferien,2026-10-05,2026-10-24
SH,Herbstferien,2026-10-12,2026-10-24
SH,Weihnachtsferien,2026-12-21,2027-01-06
SH,Osterferien,2027-03-30,2027-04-10
SH,Himmelfahrt,2027-05-07,2027-05-07
SH,Sommerferien,2027-07-03,2027-08-14
SH,Herbstferien,2027-10-04,2027-10-23
SH,Herbstferien,2027-10-11,2027-10-23
SH,Weihnachtsferien,2027-12-23,2028-01-08
SL,Fastnachtsferien,2022-02-21,2022-03-01
SL,Osterferien,2022-04-14,2022-04-22
SL,Pfingstferien,2022-06-07,2022-06-10
SL,Sommerferien,2022-07-25,2022-09-02
SL,Herbstferien,2022-10-24,2022-11-04
SL,Weihnachtsferien,2022-12-22,2023-01-04
SL,Fastnachtsferien,2023-02-20,2023-02-24
SL,Osterferien,2023-04-03,2023-04-12
SL,Pfingstferien,2023-05-30,2023-06-02
SL,Sommerferien,2023-07-24,2023-09-01
SL,Herbstferien,2023-10-23,2023-11-03
SL,Weihnachtsferien,2023-12-21,2024-01-02
SL,Fastnachtsferien,2024-02-12,2024-02-16
SL,Osterferien,2024-03-25,2024-04-05
SL,Pfingstferien,2024-05-21,2024-05-24
SL,Sommerferien,2024-07-15,2024-08-23
SL,Herbstferien,2024-10-14,2024-10-25
SL,Weihnachtsferien,2024-12-23,2025-01-03
SL,Fastnachtsferien,2025-02-24,2025-03-04
SL,Osterferien,2025-04-14,2025-04-25
SL,Sommerferien,2025-07-07,2025-08-14
SL,Herbstferien,2025-10-13,2025-10-24
SL,Weihnachtsferien,2025-12-22,2026-01-02
SL,Fastnachtsferien,2026-02-16,2026-02-20
SL,Osterferien,2026-04-07,2026-04-17
SL,Sommerferien,2026-06-29,2026-08-07
SL,Herbstferien,2026-10-05,2026-10-16
SL,Weihnachtsferien,2026-12-21,2026-12-31
SL,Fastnachtsferien,2027-02-08,2027-02-12
SL,Osterferien,2027-03-30,2027-04-09
SL,Sommerferien,2027-06-28,2027-08-06
SL,Herbstferien,2027-10-04,2027-10-15
SL,Weihnachtsferien,2027-12-20,2027-12-31
SN,Winterferien,2022-02-12,2022-02-26
SN,Osterferien,2022-04-15,2022-04-23
SN,Unterrichtsfreier Tag,2022-05-27,2022-05-27
SN,Sommerferien,2022-07-18,2022-08-26
SN,Herbstferien,2022-10-17,2022-10-29
SN,Weihnachtsferien,2022-12-22,2023-01-02
SN,Winterferien,2023-02-13,2023-02-24
SN,Osterferien,2023-04-07,2023-04-15
SN,Unterrichtsfreier Tag,2023-05-19,2023-05-19
SN,Sommerferien,2023-07-10,2023-08-18
SN,Herbstferien,2023-10-02,2023-10-14
SN,Unterrichtsfreier Tag,2023-10-30,2023-10-30
SN,Weihnachtsferien,2023-12-23,2024-01-02
SN,Winterferien,2024-02-12,2024-02-23
SN,Osterferien,2024-03-28,2024-04-05
SN,Unterrichtsfreier Tag,2024-05-10,2024-05-10
SN,Pfingstferien,2024-05-18,2024-05-21
SN,Sommerferien,2024-06-20,2024-08-02
SN,Herbstferien,2024-10-07,2024-10-19
SN,Weihnachtsferien,2024-12-23,2025-01-03
SN,Winterferien,2025-02-17,2025-03-01
SN,Osterferien,2025-04-18,2025-04-25
SN,Unterrichtsfreier Tag,2025-05-30,2025-05-30
SN,Sommerferien,2025-06-28,2025-08-08
SN,Herbstferien,2025-10-06,2025-10-18
SN,Weihnachtsferien,2025-12-22,2026-01-02
SN,Winterferien,2026-02-09,2026-02-21
SN,Osterferien,2026-04-03,2026-04-10
SN,Unterrichtsfreier Tag,2026-05-15,2026-05-15
SN,Sommerferien,2026-07-04,2026-08-14
SN,Herbstferien,2026-10-12,2026-10-24
SN,Weihnachtsferien,2026-12-23,2027-01-02
SN,Winterferien,2027-02-08,2027-02-19
SN,Osterferien,2027-03-26,2027-04-02
SN,Unterrichtsfreier Tag,2027-05-07,2027-05-07
