date,covid_infection_rate
2022-05-26,277.5
2022-05-27,234.9
2022-05-28,226.2
2022-05-29,222.4
2022-05-30,221.8
2022-05-31,221.6
2022-06-01,227.4
2022-06-02,238.7
2022-06-03,279.1
2022-06-04,287.2
2022-06-05,289.8
2022-06-06,290.5
2022-06-07,246.1
2022-06-08,269.5
2022-06-09,313.6
2022-06-10,347.8
2022-06-11,378.4
2022-06-12,386.7
2022-06-13,392.9
2022-06-14,484.9
2022-06-15,511.3
2022-06-16,511.0
2022-06-17,470.7
2022-06-18,485.3
2022-06-19,489.3
2022-06-20,490.5
2022-06-21,512.4
2022-06-22,549.1
2022-06-23,586.6
2022-06-24,662.6
2022-06-25,674.0
2022-06-26,678.8
2022-06-27,680.6
2022-06-28,694.1
2022-06-29,710.1
2022-06-30,723.8
2022-07-01,734.4
2022-07-02,743.5
2022-07-03,739.6
2022-07-04,738.1
2022-07-05,742.7
2022-07-06,741.0
2022-07-07,743.7
2022-07-08,744.4
2022-07-09,745.3
2022-07-10,745.0
2022-07-11,745.9
2022-07-12,758.0
2022-07-13,767.5
2022-07-14,777.1
2022-07-15,784.3
2022-07-16,799.7
2022-07-17,801.7
2022-07-18,800.3
2022-07-19,804.3
2022-07-20,802.8
2022-07-21,786.8
2022-07-22,771.1
2022-07-23,748.4
2022-07-24,744.8
2022-07-25,743.4
2022-07-26,726.7
2022-07-27,696.7
2022-07-28,666.0
2022-07-29,632.5
2022-07-30,600.1
2022-07-31,592.3
2022-08-01,587.7
2022-08-02,544.8
2022-08-03,504.9
2022-08-04,472.6
2022-08-05,449.8
2022-08-06,433.9
2022-08-07,431.2
2022-08-08,430.2
2022-08-09,409.0
2022-08-10,389.0
2022-08-11,373.7
2022-08-12,363.2
2022-08-13,357.1
2022-08-14,354.4
2022-08-15,353.6
2022-08-16,339.7
2022-08-17,334.5
2022-08-18,330.3
2022-08-19,324.9
2022-08-20,315.6
2022-08-21,313.9
2022-08-22,312.2
2022-08-23,307.4
2022-08-24,294.4
2022-08-25,284.6
2022-08-26,276.3
2022-08-27,272.4
2022-08-28,270.5
2022-08-29,270.2
2022-08-30,265.2
2022-08-31,259.7
2022-09-01,251.1
2022-09-02,244.6
2022-09-03,240.3
2022-09-04,240.1
2022-09-05,239.2
2022-09-06,235.3
2022-09-07,233.4
2022-09-08,236.4
2022-09-09,240.3
2022-09-10,242.1
2022-09-11,241.7
2022-09-12,241.9
2022-09-13,247.0
2022-09-14,253.7
2022-09-15,257.8
2022-09-16,264.5
2022-09-17,270.0
2022-09-18,270.7
2022-09-19,271.4
2022-09-20,280.5
2022-09-21,288.5
2022-09-22,301.5
2022-09-23,313.5
2022-09-24,329.1
2022-09-25,335.7
2022-09-26,339.7
2022-09-27,371.0
2022-09-28,420.6
2022-09-29,466.4
2022-09-30,500.8
2022-10-01,531.7
2022-10-02,540.4
2022-10-03,544.2
2022-10-04,465.1
2022-10-05,497.2
2022-10-06,565.8
2022-10-07,642.0
2022-10-08,691.0
2022-10-09,697.8
2022-10-10,704.3
2022-10-11,858.5
2022-10-12,877.8
2022-10-13,847.1
2022-10-14,803.8
2022-10-15,774.9
2022-10-16,769.7
2022-10-17,765.3
2022-10-18,744.5
2022-10-19,727.0
2022-10-20,706.1
2022-10-21,680.7
2022-10-22,655.9
2022-10-23,649.7
2022-10-24,646.5
2022-10-25,605.4
2022-10-26,561.0
2022-10-27,517.2
2022-10-28,483.3
2022-10-29,454.2
2022-10-30,446.7
2022-10-31,443.3
2022-11-01,383.1
2022-11-02,319.9
2022-11-03,313.3
2022-11-04,304.6
2022-11-05,294.9
2022-11-06,292.3
2022-11-07,288.8
2022-11-08,299.3
2022-11-09,308.4
2022-11-10,275.9
2022-11-11,254.8
2022-11-12,242.5
2022-11-13,239.8
2022-11-14,239.5
2022-11-15,225.8
2022-11-16,216.6
2022-11-17,208.9
2022-11-18,204.0
2022-11-19,202.2
2022-11-20,202.2
2022-11-21,201.1
2022-11-22,198.2
2022-11-23,198.2
2022-11-24,199.9
2022-11-25,201.1
2022-11-26,201.6
2022-11-27,202.0
2022-11-28,202.2
2022-11-29,205.7
2022-11-30,211.1
2022-12-01,214.7
2022-12-02,216.8
2022-12-03,218.6
2022-12-04,218.8
2022-12-05,219.1
2022-12-06,219.3
2022-12-07,223.2
2022-12-08,226.7
2022-12-09,230.9
2022-12-10,234.0
2022-12-11,236.2
2022-12-12,236.5
2022-12-13,244.2
2022-12-14,247.7
2022-12-15,256.2
2022-12-16,261.7
2022-12-17,264.0
2022-12-18,263.7
2022-12-19,264.3
2022-12-20,267.9
2022-12-21,269.9
2022-12-22,270.0
2022-12-23,272.7
2022-12-24,275.5
2022-12-25,275.1
2022-12-26,274.6
2022-12-27,221.9
2022-12-28,217.5
2022-12-29,211.2
2022-12-30,199.2
2022-12-31,185.4
2023-01-01,181.8
2023-01-02,179.7
2023-01-03,215.6
2023-01-04,199.6
2023-01-05,181.7
2023-01-06,170.0
2023-01-07,157.6
2023-01-08,155.4
2023-01-09,154.5
2023-01-10,143.5
2023-01-11,129.9
2023-01-12,120.0
2023-01-13,110.3
2023-01-14,107.0
2023-01-15,106.1
2023-01-16,105.6
2023-01-17,93.4
2023-01-18,84.5
2023-01-19,78.5
2023-01-20,76.0
2023-01-21,74.8
2023-01-22,74.6
2023-01-23,74.5
2023-01-24,74.1
2023-01-25,76.7
2023-01-26,79.8
2023-01-27,83.4
2023-01-28,86.2
2023-01-29,86.5
2023-01-30,86.9
2023-01-31,90.7
2023-02-01,95.2
2023-02-02,97.7
2023-02-03,98.4
2023-02-04,99.9
2023-02-05,100.0
2023-02-06,99.9
2023-02-07,100.6
2023-02-08,99.8
2023-02-09,100.1
2023-02-10,100.8
2023-02-11,102.1
2023-02-12,102.4
2023-02-13,102.7
2023-02-14,105.5
2023-02-15,107.7
2023-02-16,110.8
2023-02-17,114.2
2023-02-18,115.3
2023-02-19,115.7
2023-02-20,116.0
2023-02-21,113.2
2023-02-22,115.1
2023-02-23,120.2
2023-02-24,126.7
2023-02-25,132.7
2023-02-26,134.3
2023-02-27,134.5
2023-02-28,143.7
2023-03-01,144.9
2023-03-02,137.7
2023-03-03,122.1
2023-03-04,107.8
2023-03-05,104.0
2023-03-06,102.3
2023-03-07,82.4
2023-03-08,65.4
2023-03-09,55.0
2023-03-10,52.9
2023-03-11,51.9
2023-03-12,51.9
2023-03-13,51.9
2023-03-14,51.9
2023-03-15,50.9
2023-03-16,50.2
2023-03-17,49.1
2023-03-18,47.8
2023-03-19,47.8
2023-03-20,47.8
2023-03-21,46.4
2023-03-22,44.1
2023-03-23,42.4
2023-03-24,40.8
2023-03-25,39.4
2023-03-26,38.8
2023-03-27,38.7
2023-03-28,36.0
2023-03-29,33.2
2023-03-30,30.7
2023-03-31,28.8
2023-04-01,27.2
2023-04-02,27.1
2023-04-03,26.9
2023-04-04,24.7
2023-04-05,23.4
2023-04-06,22.1
2023-04-07,20.8
2023-04-08,17.7
2023-04-09,17.5
2023-04-10,17.4
2023-04-11,12.3
2023-04-12,13.4
2023-04-13,13.3
2023-04-14,13.5
2023-04-15,15.5
2023-04-16,15.5
2023-04-17,15.5
2023-04-18,18.8
2023-04-19,16.3
2023-04-20,15.4
2023-04-21,14.4
2023-04-22,13.7
2023-04-23,13.6
2023-04-24,13.6
2023-04-25,12.9
2023-04-26,12.3
2023-04-27,11.8
2023-04-28,11.3
2023-04-29,11.0
2023-04-30,10.9
2023-05-01,10.9
2023-05-02,8.1
2023-05-03,8.7
2023-05-04,8.7
2023-05-05,8.8
2023-05-06,8.8
2023-05-07,8.8
2023-05-08,8.7
2023-05-09,10.7
2023-05-10,9.6
2023-05-11,8.9
2023-05-12,8.4
2023-05-13,8.0
2023-05-14,8.0
2023-05-15,8.0
2023-05-16,7.4
2023-05-17,6.9
2023-05-18,6.6
2023-05-19,5.4
2023-05-20,5.2
2023-05-21,5.2
2023-05-22,5.2
2023-05-23,5.1
2023-05-24,4.9
2023-05-25,4.7
2023-05-26,5.4
2023-05-27,5.2
2023-05-28,5.1
2023-05-29,5.1
2023-05-30,3.6
2023-05-31,3.6
2023-06-01,3.5
2023-06-02,3.4
2023-06-03,3.3
2023-06-04,3.3
2023-06-05,3.3
2023-06-06,4.1
2023-06-07,3.5
2023-06-08,3.3
2023-06-09,2.8
2023-06-10,2.8
2023-06-11,2.8
2023-06-12,2.8
2023-06-13,2.7
2023-06-14,2.6
